event_name,timestamp,info,exp_iteration,data,additional_info
exp_preparing,2025-09-29 03:12:05,,04,"{""status"": ""ready"", ""input_prompt_ver"": ""v3""}","{""case_index_list"": [""12"", ""03"", ""14"", ""01"", ""09""], ""save_dir"": ""/dog_counseling/prompting/exp_record/exp_log_v3_04.csv""}"
chat_process_started,2025-09-29 03:12:05,,"{""num_cases"": 5}","{""case_index_list"": [""12"", ""03"", ""14"", ""01"", ""09""]}"
chat_generated...,2025-09-29 03:12:14,Case03...[1]counselor,,
chat_generated...,2025-09-29 03:12:18,Case09...[1]counselor,,
chat_generated...,2025-09-29 03:12:19,Case09...[1]tester,,
chat_generated...,2025-09-29 03:12:22,Case03...[1]tester,,
chat_generated...,2025-09-29 03:12:22,Case09...[2]counselor,,
chat_generated...,2025-09-29 03:12:23,Case12...[1]counselor,,
chat_generated...,2025-09-29 03:12:23,Case09...[2]tester,,
chat_generated...,2025-09-29 03:12:24,Case14...[1]counselor,,
chat_generated...,2025-09-29 03:12:24,Case01...[1]counselor,,
chat_generated...,2025-09-29 03:12:26,Case12...[1]tester,,
chat_generated...,2025-09-29 03:12:26,Case09...[3]counselor,,
chat_generated...,2025-09-29 03:12:26,Case14...[1]tester,,
chat_generated...,2025-09-29 03:12:27,Case03...[2]counselor,,
chat_generated...,2025-09-29 03:12:28,Case09...[3]tester,,
chat_generated...,2025-09-29 03:12:29,Case12...[2]counselor,,
chat_generated...,2025-09-29 03:12:30,Case03...[2]tester,,
chat_generated...,2025-09-29 03:12:30,Case01...[1]tester,,
chat_generated...,2025-09-29 03:12:31,Case12...[2]tester,,
chat_generated...,2025-09-29 03:12:31,Case14...[2]counselor,,
chat_generated...,2025-09-29 03:12:32,Case14...[2]tester,,
chat_generated...,2025-09-29 03:12:34,Case01...[2]counselor,,
chat_generated...,2025-09-29 03:12:34,Case12...[3]counselor,,
chat_generated...,2025-09-29 03:12:35,Case01...[2]tester,,
chat_generated...,2025-09-29 03:12:36,Case09...[4]counselor,,
chat_generated...,2025-09-29 03:12:36,Case12...[3]tester,,
chat_generated...,2025-09-29 03:12:37,Case09...[4]tester,,
chat_generated...,2025-09-29 03:12:38,Case03...[3]counselor,,
chat_generated...,2025-09-29 03:12:39,Case12...[4]counselor,,
chat_generated...,2025-09-29 03:12:40,Case01...[3]counselor,,
chat_generated...,2025-09-29 03:12:40,Case12...[4]tester,,
chat_generated...,2025-09-29 03:12:40,Case03...[3]tester,,
chat_generated...,2025-09-29 03:12:42,Case01...[3]tester,,
chat_generated...,2025-09-29 03:12:44,Case12...[5]counselor,,
chat_generated...,2025-09-29 03:12:44,Case14...[3]counselor,,
chat_generated...,2025-09-29 03:12:44,Case09...[5]counselor,,
chat_generated...,2025-09-29 03:12:45,Case12...[5]tester,,
chat_generated...,2025-09-29 03:12:45,Case14...[3]tester,,
chat_generated...,2025-09-29 03:12:46,Case09...[5]tester,,
chat_generated...,2025-09-29 03:12:46,Case01...[4]counselor,,
chat_generated...,2025-09-29 03:12:50,Case03...[4]counselor,,
chat_generated...,2025-09-29 03:12:50,Case09...[6]counselor,,
chat_generated...,2025-09-29 03:12:51,Case14...[4]counselor,,
chat_generated...,2025-09-29 03:12:51,Case09...[6]tester,,
chat_generated...,2025-09-29 03:12:51,Case01...[4]tester,,
chat_generated...,2025-09-29 03:12:52,Case14...[4]tester,,
chat_generated...,2025-09-29 03:12:53,Case03...[4]tester,,
